Gene	Gene score (% variance explained by pseudotime)				
Zm00001d021788	43.7				
Zm00001d015130	43.7				
Zm00001d031209	43.7				
Zm00001d028813	43.6				
Zm00001d021614	43.6				
Zm00001d031727	43.6				
Zm00001d006731	43.6				
MSTRG.8481	43.6				
Zm00001d041963	43.5				
Zm00001d052056	43.5				
Zm00001d010946	43.5				
Zm00001d031849	43.5				
Zm00001d006903	43.5				
MSTRG.18501	43.5				
Zm00001d031796	43.5				
Zm00001d016446	43.4				
Zm00001d047766	43.3				
Zm00001d028612	43.3				
Zm00001d053217	43.3				
Zm00001d033745	43.3				
Zm00001d006700	43.3				
MSTRG.737	43.3				
Zm00001d024307	43.2				
Zm00001d022131	43.2				
Zm00001d021551	43.2				
Zm00001d023379	43.1				
Zm00001d045109	43.1				
MSTRG.16863	43.1				
MSTRG.7928	43.1				
MSTRG.685	43.1				
Zm00001d004812	43				
Zm00001d023646	43				
Zm00001d045326	43				
Zm00001d032435	43				
Zm00001d046531	42.9				
Zm00001d045775	42.9				
Zm00001d036387	42.9				
Zm00001d051662	42.9				
Zm00001d005229	42.9				
Zm00001d010614	42.8				
Zm00001d053838	42.8				
Zm00001d020963	42.8				
MSTRG.12653	42.8				
Zm00001d052952	42.7				
Zm00001d012052	42.7				
Zm00001d043600	42.7				
Zm00001d014587	42.7				
Zm00001d053080	42.6				
Zm00001d021445	42.6				
Zm00001d041480	42.5				
Zm00001d032719	42.5				
Zm00001d053003	42.4				
Zm00001d026653	42.4				
Zm00001d001572	42.4				
Zm00001d002254	42.3				
Zm00001d015586	42.2				
Zm00001d028384	42.2				
Zm00001d016797	42.2				
Zm00001d033055	42.2				
MSTRG.2256	42.2				
Zm00001d050336	42.2				
Zm00001d034778	42.2				
Zm00001d008648	42.1				
Zm00001d005238	42.1				
MSTRG.1379	42.1				
Zm00001d036989	42.1				
Zm00001d010902	42.1				
MSTRG.15302	42.1				
Zm00001d044982	42.1				
Zm00001d015568	42				
Zm00001d046939	41.9				
Zm00001d024525	41.9				
