Cell Number	Plant Number	Anther size (mm)	Date planted	Date harvested	Time from harvest to isolation	Cell diameter (um)	RT primer barcode (rep1)	Illumina barcode (rep1)	RT primer barcode (rep2)	Illumina barcode (rep2)	Quality control	Expression stage	Cell cycle phase																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
173	19	1.5	06/09/17	07/09/17	01:09:48	33.9	dT_5s	RPI18	dT_37s	RPI11	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
174	20	1.55	06/09/17	07/09/17	01:04:48	38.3	dT_23s	RPI15	dT_26s	RPI16	PASS	M3	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
175	20	1.5	06/09/17	07/09/17	01:16:42	NA	dT_46s	RPI18	dT_25s	RPI11	PASS	M3	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
176	20	1.5	06/09/17	07/09/17	01:17:16	33	dT_31s	RPI18	dT_31s	RPI11	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
177	20	1.55	06/09/17	07/09/17	01:09:50	35.4	dT_2s	RPI15	dT_4s	RPI16	PASS	M3	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
178	20	1.55	06/09/17	07/09/17	01:10:48	36.6	dT_25s	RPI15	dT_25s	RPI16	PASS	M3	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
179	20	1.55	06/09/17	07/09/17	01:12:58	NA	dT_1s	RPI15	dT_5s	RPI16	PASS	M3	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
180	20	1.5	06/09/17	07/09/17	01:23:56	36.6	dT_25s	RPI27	dT_6s	RPI22	PASS	M3	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
181	20	1.5	06/09/17	07/09/17	01:24:36	35.1	dT_101X	RPI27	dT_10s	RPI22	PASS	M3	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
182	20	1.55	06/09/17	07/09/17	01:16:38	42.8	dT_46s	RPI15	dT_6s	RPI16	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
183	20	1.55	06/09/17	07/09/17	01:17:28	NA	dT_10s	RPI15	dT_101X	RPI16	PASS	M3	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
184	20	1.55	06/09/17	07/09/17	01:21:24	36	dT_6s	RPI15	dT_37s	RPI16	PASS	M3	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
185	20	1.55	06/09/17	07/09/17	01:23:06	37.8	dT_5s	RPI15	dT_9s	RPI16	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
186	20	1.55	06/09/17	07/09/17	01:27:16	32.4	dT_1s	RPI25	dT_10s	RPI25	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
187	20	1.55	06/09/17	07/09/17	01:27:44	31.6	dT_31s	RPI25	dT_46s	RPI25	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
188	20	1.55	06/09/17	07/09/17	01:28:18	33.3	dT_101X	RPI25	dT_6s	RPI25	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
189	20	1.55	06/09/17	07/09/17	01:29:10	41.6	dT_4s	RPI25	dT_2s	RPI25	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
190	21	1.35	06/09/17	07/09/17	01:13:14	33.6	dT_46s	RPI27	dT_102X	RPI22	PASS	MLT	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
191	21	1.35	06/09/17	07/09/17	01:13:46	32.2	dT_10s	RPI27	dT_25s	RPI22	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
192	21	1.35	06/09/17	07/09/17	01:15:10	NA	dT_5s	RPI27	dT_19s	RPI22	PASS	MLT	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
193	21	1.35	06/09/17	07/09/17	01:20:56	39.5	dT_4s	RPI27	dT_31s	RPI22	PASS	MLT	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
194	22	1.2	06/16/17	07/14/17	01:25:42	30.7	dT_5s	RPI6	dT_102X	RPI8	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
195	22	1.2	06/16/17	07/14/17	01:26:48	30.4	dT_26s	RPI6	dT_101X	RPI8	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
196	22	1.2	06/16/17	07/14/17	01:30:18	24.5	dT_101X	RPI6	dT_5s	RPI8	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
197	22	1.2	06/16/17	07/14/17	01:35:20	NA	dT_4s	RPI6	dT_1s	RPI8	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
198	22	1.2	06/16/17	07/14/17	01:36:04	27.7	dT_9s	RPI6	dT_2s	RPI8	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
199	22	1.2	06/16/17	07/14/17	01:36:48	32.2	dT_37s	RPI6	dT_19s	RPI8	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
200	22	1.2	06/16/17	07/14/17	01:37:40	30.4	dT_46s	RPI6	dT_26s	RPI8	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
201	22	1.2	06/16/17	07/14/17	01:38:20	33	dT_1s	RPI6	dT_10s	RPI8	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
202	23	1.35	06/16/17	07/14/17	01:22:18	36	dT_19s	RPI16	dT_2s	RPI14	PASS	M1	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
203	23	1.35	06/16/17	07/14/17	01:23:08	32.2	dT_1s	RPI16	dT_9s	RPI14	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
204	23	1.35	06/16/17	07/14/17	01:28:54	29.8	dT_102X	RPI16	dT_102X	RPI14	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
205	23	1.35	06/16/17	07/14/17	01:29:42	27.7	dT_31s	RPI16	dT_5s	RPI14	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
206	23	1.35	06/16/17	07/14/17	01:33:06	33.6	dT_23s	RPI16	dT_1s	RPI14	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
207	23	1.35	06/16/17	07/14/17	01:39:14	37.2	dT_10s	RPI16	dT_46s	RPI14	PASS	M1	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
208	23	1.35	06/16/17	07/14/17	01:41:08	32.2	dT_2s	RPI16	dT_101X	RPI14	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
209	24	0.32	06/22/17	07/15/17	01:31:22	20.9	dT_25s	RPI14	dT_2s	RPI19	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
210	24	0.32	06/22/17	07/15/17	01:32:40	17.1	dT_19s	RPI14	dT_31s	RPI19	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
211	24	0.32	06/22/17	07/15/17	01:33:18	21.2	dT_4s	RPI14	dT_37s	RPI19	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
212	24	0.32	06/22/17	07/15/17	01:35:50	23	dT_10s	RPI14	dT_1s	RPI19	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
213	24	0.32	06/22/17	07/15/17	01:39:12	19.2	dT_23s	RPI14	dT_4s	RPI19	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
214	24	0.32	06/22/17	07/15/17	01:43:40	21.8	dT_37s	RPI14	dT_101X	RPI19	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
